variable,source_module,label
SLD012,SLQ_J,Weekday sleep hours
SLQ320,,
SLQ330,,
SLD013,SLQ_J,Weekend sleep hours
SLQ030,,
SLQ040,,
SLQ050,,
SLQ120,,
PAQ605,,
PAQ610,,
PAD615,,
PAQ620,,
PAQ625,,
PAD630,,
PAQ635,,
PAQ640,,
PAD645,,
PAQ650,,
PAQ655,,
PAD660,,
PAQ665,,
PAQ670,,
PAD675,,
PAD680,PAQ_J,Sedentary activity minutes per day
phq9_score,derived,PHQ-9 depression score (0–27; sum DPQ010–DPQ090)
phq9_dep,derived,Moderate-severe depression flag (PHQ-9 ≥ 10)
sedentary_hours,derived,Sedentary hours per day (PAD680 / 60)
high_sedentary,derived,High sedentary flag (≥ 8 hours/day)
sleep_hours,derived,Weekday sleep hours (= SLD012)
short_sleep,derived,Short sleep flag (< 7 hours/night)
ALT_elevated,derived,Primary outcome: elevated ALT by sex-specific AASLD threshold
ALT_elevated_40,derived,Sensitivity outcome: ALT > 40 U/L (unisex)
